Ftherm_star	Ftherm_planet	Frefl_planet	
Star.Blackbody	Planet.Thermal	Planet.Reflected	
4920331.936434761621	00000.000000985286	00000.005548661535	
4920331.936434761621	00000.000000000000	00000.002300575125	
4920331.936434761621	00000.000000042764	00000.000803440894	
4920331.936434761621	00000.000013658306	00000.108134248043	
4920331.936434761621	00000.000000000000	00000.000154914069	
4920331.936434761621	00000.000056151479	00000.310257441845	
4920331.936434761621	00000.000000000000	00000.000275278904	
4920331.936434761621	00000.000000000000	00000.000179388637	
4920331.936434761621	00000.000000000000	00000.000368376695	
4920331.936434761621	00003.234281109223	00000.517150184319	
4920331.936434761621	00000.000000000002	00000.005195422998	
4920331.936434761621	00000.000000000000	00000.005116771612	
4920331.936434761621	00000.000894320466	00000.209312503102	
4920331.936434761621	00000.000000000000	00000.000729588202	
4920331.936434761621	00000.000000000000	00000.004632029191	
4920331.936434761621	00000.000000000000	00000.000656825539	
4920331.936434761621	00000.000000000000	00000.000025700598	
85188841.426663100719	00000.000000107236	00000.919858559836	
85188841.426663100719	00000.000000000000	00000.000058671552	
85188841.426663100719	00000.002637779689	00000.087008486232	
85188841.426663100719	00000.000000000000	00000.000517971877	
85188841.426663100719	00000.051799171276	00000.233935047786	
85188841.426663100719	00000.003679188878	00004.466564439630	
85188841.426663100719	00000.001771632407	00000.735809007734	
85188841.426663100719	00000.000000000879	00000.051896966274	
85188841.426663100719	00000.000000000000	00000.000060394264	
85188841.426663100719	00000.467396094266	00000.328554983673	
85188841.426663100719	00000.000000024953	00000.127529958397	
85188841.426663100719	00000.000022140203	00002.532607410466	
85188841.426663100719	00000.000000000000	00000.007769188181	
85188841.426663100719	00000.000000000000	00000.047565749443	
85188841.426663100719	00000.175098857056	00024.407602428433	
85188841.426663100719	00000.000000000000	00000.012054701252	
85188841.426663100719	00000.000004904274	00000.021442300549	
85188841.426663100719	00000.000000000024	00000.164045521951	
85188841.426663100719	00000.000000000000	00000.017092752708	
85188841.426663100719	00000.000000000000	00000.005817382000	
85188841.426663100719	00000.026727612196	00000.026806827634	
85188841.426663100719	00000.000000000000	00000.101146524231	
85188841.426663100719	00000.000000000000	00000.001695545649	
85188841.426663100719	00000.000017035820	00001.411893555765	
85188841.426663100719	00000.000000000000	00000.000951113209	
85188841.426663100719	00000.000000000000	00000.001868611786	
67243704.584700107574	00000.000974802078	00000.453821909547	
67243704.584700107574	00000.000000000002	00000.022149756870	
67243704.584700107574	00000.000000000000	00000.003086031873	
67243704.584700107574	00000.000000000000	00000.018507555762	
67243704.584700107574	00000.000000000000	00000.056720653026	
67243704.584700107574	00000.072768798486	00000.023156103439	
67243704.584700107574	00000.011470584885	00000.560564308355	
67243704.584700107574	00000.000000000000	00000.004970077088	
67243704.584700107574	00000.000000000000	00000.312012164096	
67243704.584700107574	00000.000000000000	00000.001422079806	
67243704.584700107574	00000.003539647119	00000.092976212716	
67243704.584700107574	00000.000212974317	00000.239281840020	
67243704.584700107574	00000.000000043559	00000.127559789477	
67243704.584700107574	00000.000000006540	00000.119580112983	
67243704.584700107574	00000.000000000000	00000.014425990242	
67243704.584700107574	00000.000038816555	00000.077915180314	
67243704.584700107574	00000.000000000051	00000.001462546429	
67243704.584700107574	00000.055526662999	00009.990053351441	
67243704.584700107574	00021.399150042792	00116.582936117829	
67243704.584700107574	00000.000000000000	00000.000305647412	
67243704.584700107574	00000.000000000000	00000.002908095690	
67243704.584700107574	00000.000000250551	00000.089275167782	
67243704.584700107574	00000.000000026878	00000.054631922082	
67243704.584700107574	00000.000000000000	00000.010421062833	
40767274.615279287100	00000.000000041611	00000.004514997374	
40767274.615279287100	00023.886431712644	00000.570960540754	
40767274.615279287100	00000.088977611189	00000.289278695631	
40767274.615279287100	00000.000000856273	00000.018163037374	
40767274.615279287100	00000.000000002799	00000.000242117923	
40767274.615279287100	00000.000000107743	00000.011134930879	
40767274.615279287100	00000.000000000000	00000.000834091304	
40767274.615279287100	00000.000000000014	00000.004815943267	
40767274.615279287100	00000.020360854695	00000.026184199041	
40767274.615279287100	00000.000000000002	00000.000432490286	
40767274.615279287100	00000.000000000169	00000.000296388811	
40767274.615279287100	00000.000000000262	00000.000012407907	
40767274.615279287100	00000.000000000000	00000.000018948679	
40767274.615279287100	00000.005993566857	00000.005137852456	
40767274.615279287100	00000.001606103328	00000.001382912995	
40767274.615279287100	00000.000000000002	00000.000862459898	
40767274.615279287100	00000.000000000352	00000.000093115572	
40767274.615279287100	00000.000000000018	00000.000426572727	
40767274.615279287100	00000.000000000001	00000.000987009593	
40767274.615279287100	00000.000043005000	00000.001415636168	
40767274.615279287100	00000.000000000000	00000.000376875367	
40767274.615279287100	00000.000014973248	00000.001713036920	
40767274.615279287100	00000.000000000086	00000.000479324528	
40767274.615279287100	00000.000000000000	00000.002512140256	
40767274.615279287100	00258.758144408391	00011.923809493477	
40767274.615279287100	00005.808846931350	00007.860421290171	
40767274.615279287100	00000.000000000411	00000.000051448826	
4462467.982663895935	00000.030299190062	00000.016730088230	
4462467.982663895935	00000.000000000005	00000.000797538717	
4462467.982663895935	00000.000000000000	00000.000939225437	
4462467.982663895935	00009.193849093027	00000.133371159200	
