Ftherm_star	Ftherm_planet	Frefl_planet	
Star.Blackbody	Planet.Thermal	Planet.Reflected	
435787.587049451075	00055.530938756183	00000.430193776667	
435787.587049451075	00000.833493184648	00000.000406938385	
435787.587049451075	00000.005579604037	00000.000000852685	
435787.587049451075	00000.842127418550	00000.000362504439	
435787.587049451075	00001.039313174677	00000.000981763337	
435787.587049451075	00000.083395739750	00000.000020073465	
435787.587049451075	00003.059452281175	00000.043093017735	
435787.587049451075	00000.513781271709	00000.000019330000	
435787.587049451075	00001.135357758636	00000.000063573174	
435787.587049451075	00000.049375561622	00000.000051547135	
435787.587049451075	00003.096174815672	00000.000953113192	
435787.587049451075	00007.712593321361	00000.025160096246	
435787.587049451075	00002.165901388850	00000.000951844061	
435787.587049451075	00002.875446461305	00000.001387663385	
435787.587049451075	00000.167201745063	00000.000000785037	
435787.587049451075	00000.048270478681	00000.000015710071	
435787.587049451075	00293.911582979796	00000.454856400658	
435787.587049451075	00000.383571049118	00000.000157139440	
435787.587049451075	00000.196035716905	00000.000003539327	
435787.587049451075	00000.005434348479	00000.000001163616	
435787.587049451075	00000.082416054399	00000.000005689343	
03059.595128584352	00000.433245844867	00000.001594860355	
03059.595128584352	00001.527023672843	00000.010426123465	
03059.595128584352	00000.080656237634	00000.000128737802	
03059.595128584352	00000.006855643994	00000.000035945204	
03059.595128584352	00000.000103465896	00000.000025733888	
03059.595128584352	00000.000045040137	00000.000001031055	
03059.595128584352	00000.000000026330	00000.000001619723	
03059.595128584352	00000.000000011571	00000.000004826150	
03059.595128584352	00000.056844803221	00000.000016860973	
03059.595128584352	00000.000236500946	00000.000004312092	
03059.595128584352	00000.000000017773	00000.000001182655	
03059.595128584352	00000.115861221965	00000.000112988604	
03059.595128584352	00000.105150536983	00000.002729892002	
03059.595128584352	00000.031503570207	00000.000627093023	
03059.595128584352	00000.001093188946	00000.000002305524	
03059.595128584352	00000.000000005517	00000.000000015595	
03059.595128584352	00000.000000058418	00000.000016883605	
03059.595128584352	00000.053682475704	00000.000003468523	
03059.595128584352	00000.002925002601	00000.000026755750	
03059.595128584352	00000.000022499680	00000.000000653591	
03059.595128584352	00000.000030510868	00000.000006126813	
03059.595128584352	00000.000000212967	00000.000003943147	
03059.595128584352	00000.000000003739	00000.000000173172	
03059.595128584352	00000.000000037659	00000.000000481849	
03059.595128584352	00000.018452096076	00000.000082280392	
03059.595128584352	00000.005329261301	00000.000120174826	
