Ftherm_star	Ftherm_planet	Frefl_planet	
Star.Blackbody	Planet.Thermal	Planet.Reflected	
1014000.173779624165	00099.565961144733	00001.000984372347	
1014000.173779624165	00000.251606742361	00000.000946873214	
1014000.173779624165	00000.000168641734	00000.000001984047	
1014000.173779624165	00000.297839706438	00000.000843483328	
1014000.173779624165	00000.266528715450	00000.002284388596	
1014000.173779624165	00000.004907814059	00000.000046707381	
1014000.173779624165	00005.775248645294	00000.100269784569	
1014000.173779624165	00000.397978303278	00000.000044977471	
1014000.173779624165	00000.187259562579	00000.000147923463	
1014000.173779624165	00000.001493277792	00000.000119941012	
1014000.173779624165	00005.870646016597	00000.002217724806	
1014000.173779624165	00011.777143309059	00000.058543067135	
1014000.173779624165	00001.775183965458	00000.002214771765	
1014000.173779624165	00000.895157736571	00000.003228845784	
1014000.173779624165	00000.025580997470	00000.000001826642	
1014000.173779624165	00000.002721449206	00000.000036554540	
1014000.173779624165	00377.260917836553	00001.058369910063	
1014000.173779624165	00000.105822096548	00000.000365635516	
1014000.173779624165	00000.008964072341	00000.000008235385	
1014000.173779624165	00000.000187104530	00000.000002707528	
1014000.173779624165	00000.016647597582	00000.000013238088	
06255.523581256294	00000.108425073455	00000.003260786522	
06255.523581256294	00000.246217245890	00000.021316827375	
06255.523581256294	00000.004143721905	00000.000263212067	
06255.523581256294	00000.000132872257	00000.000073492100	
06255.523581256294	00000.000000093126	00000.000052614459	
06255.523581256294	00000.000000020585	00000.000002108054	
06255.523581256294	00000.000000000000	00000.000003311621	
06255.523581256294	00000.000000000000	00000.000009867349	
06255.523581256294	00000.001248807941	00000.000034473258	
06255.523581256294	00000.000000258896	00000.000008816329	
06255.523581256294	00000.000000000000	00000.000002418008	
06255.523581256294	00000.040798156675	00000.000231011898	
06255.523581256294	00000.006122534699	00000.005581425998	
06255.523581256294	00000.000306280408	00000.001282128852	
06255.523581256294	00000.000002930706	00000.000004713781	
06255.523581256294	00000.000000000000	00000.000000031884	
06255.523581256294	00000.000000000000	00000.000034519530	
06255.523581256294	00000.006886782800	00000.000007091600	
06255.523581256294	00000.000014825251	00000.000054703717	
06255.523581256294	00000.000000017037	00000.000001336306	
06255.523581256294	00000.000000021030	00000.000012526632	
06255.523581256294	00000.000000000005	00000.000008061998	
06255.523581256294	00000.000000000000	00000.000000354061	
06255.523581256294	00000.000000000000	00000.000000985169	
06255.523581256294	00000.001338633033	00000.000168227139	
06255.523581256294	00000.000039288437	00000.000245704554	
06255.523581256294	00000.000000271899	00000.000026178946	
06255.523581256294	00000.000000000088	00000.000037703761	
06255.523581256294	00000.000000000000	00000.000002952333	
06255.523581256294	00000.000000026075	00000.000004668400	
06255.523581256294	00000.000000000003	00000.000000009790	
06255.523581256294	00000.000000000000	00000.000000182687	
