Ftherm_star	Ftherm_planet	Frefl_planet	
Star.Blackbody	Planet.Thermal	Planet.Reflected	
4741491.001797738485	00000.000000000000	00000.000632951683	
4741491.001797738485	00000.000000000000	00000.000024766450	
79355315.318492084742	00000.000082783476	00000.856868867351	
79355315.318492084742	00000.000000000000	00000.000054653866	
79355315.318492084742	00000.149900564833	00000.081050355242	
79355315.318492084742	00000.000000000000	00000.000482502414	
79355315.318492084742	00000.750949792981	00000.217915740727	
79355315.318492084742	00000.112102928623	00004.160704894694	
79355315.318492084742	00000.075319305566	00000.685422584050	
79355315.318492084742	00000.000000976153	00000.048343187368	
79355315.318492084742	00000.000000000000	00000.000056258611	
79355315.318492084742	00004.674635742777	00000.306056331935	
79355315.318492084742	00000.000008561206	00000.118797014864	
79355315.318492084742	00000.003307620198	00002.359180571889	
79355315.318492084742	00000.000000001029	00000.007237172939	
79355315.318492084742	00000.000000000000	00000.044308561805	
79355315.318492084742	00002.947536002582	00022.736228764704	
79355315.318492084742	00000.000000000000	00000.011229224426	
79355315.318492084742	00000.000446837293	00000.019973983596	
79355315.318492084742	00000.000000059117	00000.152812080820	
79355315.318492084742	00000.000000000000	00000.015922282286	
79355315.318492084742	00000.000000000000	00000.005419021731	
79355315.318492084742	00000.911857631441	00000.024971160823	
79355315.318492084742	00000.000000001018	00000.094220254547	
79355315.318492084742	00000.000000000001	00000.001579438778	
79355315.318492084742	00000.002511484650	00001.315210495148	
79355315.318492084742	00000.000000000001	00000.000885983274	
79355315.318492084742	00000.000000000000	00000.001740653764	
64799575.381275370717	00000.034776910034	00000.437326694283	
64799575.381275370717	00000.000000009801	00000.021344672321	
64799575.381275370717	00000.000000000001	00000.002973862851	
64799575.381275370717	00000.000000000000	00000.017834855502	
64799575.381275370717	00000.000000000000	00000.054659008663	
64799575.381275370717	00000.830003599545	00000.022314440878	
64799575.381275370717	00000.194484201852	00000.540189291765	
64799575.381275370717	00000.000000000031	00000.004789428050	
64799575.381275370717	00000.000000000208	00000.300671354621	
64799575.381275370717	00000.000000000000	00000.001370391001	
64799575.381275370717	00000.095650409189	00000.089596775516	
64799575.381275370717	00000.014437782529	00000.230584583725	
64799575.381275370717	00000.000018773830	00000.122923331558	
64799575.381275370717	00000.000002670175	00000.115233695008	
64799575.381275370717	00000.000000000000	00000.013901643996	
64799575.381275370717	00000.002965546730	00000.075083171448	
64799575.381275370717	00000.000000084744	00000.001409386770	
64799575.381275370717	00001.267913818156	00009.626941573307	
64799575.381275370717	00092.151417295697	00112.345457523418	
64799575.381275370717	00000.000000000000	00000.000294537944	
64799575.381275370717	00000.000000000000	00000.002802394173	
64799575.381275370717	00000.000045495732	00000.086030253689	
64799575.381275370717	00000.000007854300	00000.052646197515	
64799575.381275370717	00000.000000000000	00000.010042285010	
32110006.401715252548	00000.000007927977	00000.003556200309	
32110006.401715252548	00037.481227492790	00000.449712343829	
32110006.401715252548	00000.839107880157	00000.227847970124	
32110006.401715252548	00000.000088426789	00000.014305966044	
32110006.401715252548	00000.000000952364	00000.000190702178	
32110006.401715252548	00000.000023782714	00000.008770336138	
32110006.401715252548	00000.000000000047	00000.000656965111	
32110006.401715252548	00000.000000022132	00000.003793237851	
32110006.401715252548	00000.210690091439	00000.020623767636	
32110006.401715252548	00000.000000002856	00000.000340647394	
32110006.401715252548	00000.000000081798	00000.000233448193	
32110006.401715252548	00000.000000150597	00000.000009772985	
32110006.401715252548	00000.000000000001	00000.000014924770	
32110006.401715252548	00000.077014622883	00000.004046786959	
32110006.401715252548	00000.019419163103	00000.001089239974	
32110006.401715252548	00000.000000002761	00000.000679309400	
32110006.401715252548	00000.000000128059	00000.000073341710	
32110006.401715252548	00000.000000015801	00000.000335986477	
32110006.401715252548	00000.000000001666	00000.000777409936	
32110006.401715252548	00000.001267850987	00000.001115014110	
32110006.401715252548	00000.000000000767	00000.000296842763	
32110006.401715252548	00000.000809226283	00000.001349259351	
32110006.401715252548	00000.000000051198	00000.000377535997	
32110006.401715252548	00000.000000000111	00000.001978666479	
32110006.401715252548	00345.549370016210	00009.391689848820	
32110006.401715252548	00032.706018786854	00006.191195764972	
32110006.401715252548	00000.000000180805	00000.000040523242	
3989797.189761725720	00000.201123135513	00000.014958014100	
3989797.189761725720	00000.000000006026	00000.000713062311	
3989797.189761725720	00000.000000000000	00000.000839741377	
3989797.189761725720	00020.284665574459	00000.119244301189	
3989797.189761725720	00004.064884523385	00000.001542945969	
3989797.189761725720	00000.005037708847	00000.000269993682	
3989797.189761725720	00000.000098458643	00000.000628969716	
3989797.189761725720	00000.000000000002	00000.000059978865	
3989797.189761725720	00000.000000000000	00000.001601349373	
3989797.189761725720	00003.922948584991	00000.057581466030	
3989797.189761725720	00000.000000022820	00000.002719497823	
3989797.189761725720	00000.000000000335	00000.000943179557	
3989797.189761725720	00000.000000000000	00000.000248934572	
3989797.189761725720	00000.004542402392	00000.025759167181	
3989797.189761725720	00000.000000004046	00000.003042478897	
3989797.189761725720	00000.000000000000	00000.002902996797	
3989797.189761725720	00000.000000000000	00000.000009423645	
3989797.189761725720	00000.000209243627	00000.002006108313	
3989797.189761725720	00000.000000000003	00000.000665241034	
3989797.189761725720	00000.000000000000	00000.000165628381	
3989797.189761725720	00000.000000245848	00000.000360337982	
3989797.189761725720	00000.000000162533	00000.008347705746	
3989797.189761725720	00000.139592407850	00000.004204842694	
3989797.189761725720	00000.000811510368	00000.047276310999	
3989797.189761725720	00000.003327883252	00000.098831989756	
3989797.189761725720	00000.000000002336	00000.000179438930	
3989797.189761725720	00000.000000000000	00000.000148505814	
3989797.189761725720	00000.000106917900	00000.133128844490	
3989797.189761725720	00000.000000000000	00000.001321471250	
45430763.812045812607	00000.004200299033	00000.002024195471	
45430763.812045812607	01194.835779430866	00000.049774286979	
45430763.812045812607	00000.000003173694	00000.000348926512	
45430763.812045812607	00000.045517696036	00000.071717970177	
45430763.812045812607	00004.159659929105	00000.329860545480	
16704658.399311933666	00000.000351937852	00000.000549767618	
16704658.399311933666	00000.000942990373	00000.003963109124	
16704658.399311933666	00000.000002462758	00000.001664462670	
16704658.399311933666	00000.000096829427	00000.019644214029	
16704658.399311933666	00000.000635014663	00000.000476548703	
16704658.399311933666	00000.000002293716	00000.133935282800	
110948887.619294911623	00385.076193812852	00002.594463906947	
110948887.619294911623	00231.774507917462	00005.775942052771	
110948887.619294911623	00063.598484212474	00004.296311920280	
110948887.619294911623	00004.473393069499	00001.298842056000	
110948887.619294911623	00000.000000000501	00000.001413367369	
110948887.619294911623	00000.000000060330	00000.003264235011	
110948887.619294911623	00000.296273709666	00000.493811566524	
110948887.619294911623	00000.004276553965	00000.035884753004	
110948887.619294911623	00064.094925961873	00005.153526517539	
110948887.619294911623	00028.400952190097	00001.711575189441	
110948887.619294911623	00000.000304361452	00000.028614540215	
110948887.619294911623	00000.000000002974	00000.001971280958	
110948887.619294911623	00009.038686357366	00000.591063520835	
110948887.619294911623	00000.620845991472	00000.026308306865	
110948887.619294911623	00000.001141382755	00000.021760775597	
110948887.619294911623	00051.477320096399	00001.092840840406	
110948887.619294911623	00001.498274350293	00000.034725328620	
110948887.619294911623	00000.000612297662	00000.004238812292	
110948887.619294911623	00000.012537965005	00000.072774678881	
110948887.619294911623	00000.004840411824	00000.024890152274	
110948887.619294911623	00000.000002606780	00000.007965692235	
110948887.619294911623	00000.000005487806	00000.004840590798	
110948887.619294911623	00138.647021204577	00000.310907000959	
110948887.619294911623	00000.591275235295	00000.062444165704	
110948887.619294911623	00000.000352696864	00000.004408705711	
110948887.619294911623	00000.000000000001	00000.000546093965	
110948887.619294911623	00005.709191587909	00000.857080675042	
110948887.619294911623	00139.389736578543	00000.212912445713	
110948887.619294911623	00000.682562886844	00000.131260785761	
110948887.619294911623	00000.876781081251	00000.063826669220	
110948887.619294911623	00000.182571084390	00000.055226728701	
110948887.619294911623	00000.000018881913	00000.004894827581	
33289163.909910827875	07327.262989356142	00027.439783060341	
33289163.909910827875	00000.242912093168	00000.093206278243	
33289163.909910827875	00040.472040110465	00009.027873767445	
33289163.909910827875	00000.000000618735	00000.000203077455	
33289163.909910827875	00000.000000325920	00000.002286187374	
33289163.909910827875	00000.000000024516	00000.000512482403	
