Ftherm_star	Ftherm_planet	Frefl_planet	
Star.Blackbody	Planet.Thermal	Planet.Reflected	
43251617.006733417511	00000.000000017764	00000.027779854289	
43251617.006733417511	00000.000000000000	00000.000458846081	
43251617.006733417511	00000.000000000000	00000.000314450633	
43251617.006733417511	00000.000000000000	00000.000013164040	
43251617.006733417511	00000.000000000000	00000.000020103404	
43251617.006733417511	00000.000000001628	00000.005450951254	
43251617.006733417511	00000.000000000606	00000.001467187193	
43251617.006733417511	00000.000000000000	00000.000915017880	
43251617.006733417511	00000.000000000000	00000.000098790000	
43251617.006733417511	00000.000000000000	00000.000452567908	
43251617.006733417511	00000.000000000000	00000.001047157586	
43251617.006733417511	00000.000000000000	00000.001501904504	
43251617.006733417511	00000.000000000000	00000.000399842010	
43251617.006733417511	00000.000000000000	00000.001817428746	
43251617.006733417511	00000.000000000000	00000.000508534385	
43251617.006733417511	00000.000000000000	00000.002665229139	
43251617.006733417511	00012.926552992143	00012.650441962089	
43251617.006733417511	00000.000131975098	00008.339432409019	
43251617.006733417511	00000.000000000000	00000.000054584098	
2205467.705047882162	00000.000000285817	00000.008268444600	
2205467.705047882162	00000.000000000000	00000.000394164370	
2205467.705047882162	00000.000000000000	00000.000464189632	
2205467.705047882162	00000.030470959645	00000.065915494642	
2205467.705047882162	00000.001962296079	00000.000852904883	
2205467.705047882162	00000.000000000006	00000.000149246270	
2205467.705047882162	00000.000000000000	00000.000347679927	
2205467.705047882162	00000.000000000000	00000.000033154931	
2205467.705047882162	00000.000000000000	00000.000885188935	
2205467.705047882162	00000.000265315965	00000.031829704042	
2205467.705047882162	00000.000000000000	00000.001503275565	
2205467.705047882162	00000.000000000000	00000.000521367867	
2205467.705047882162	00000.000000000000	00000.000137605280	
2205467.705047882162	00000.000000000001	00000.014239072471	
2205467.705047882162	00000.000000000000	00000.001681812040	
2205467.705047882162	00000.000000000000	00000.001604709558	
2205467.705047882162	00000.000000000000	00000.000005209173	
2205467.705047882162	00000.000000000000	00000.001108930326	
2205467.705047882162	00000.000000000000	00000.000367729873	
2205467.705047882162	00000.000000000000	00000.000091555542	
2205467.705047882162	00000.000000000000	00000.000199186511	
2205467.705047882162	00000.000000000000	00000.004614418869	
2205467.705047882162	00000.000000028670	00000.002324339891	
2205467.705047882162	00000.000000000000	00000.026133252434	
2205467.705047882162	00000.000000000000	00000.054632040493	
2205467.705047882162	00000.000000000000	00000.000099189695	
2205467.705047882162	00000.000000000000	00000.000082090583	
2205467.705047882162	00000.000000000000	00000.073590549386	
2205467.705047882162	00000.000000000000	00000.000730478776	
57635735.186800077558	00000.000000000000	00000.002567995436	
57635735.186800077558	00030.045773731456	00000.063146145535	
57635735.186800077558	00000.000000000000	00000.000442665594	
57635735.186800077558	00000.000000000089	00000.090984997619	
57635735.186800077558	00000.000014955030	00000.418477556893	
15046987.799872327596	00000.000000000000	00000.000495211961	
15046987.799872327596	00000.000000000000	00000.003569833828	
15046987.799872327596	00000.000000000000	00000.001499291329	
15046987.799872327596	00000.000000000000	00000.017694839473	
15046987.799872327596	00000.000000000000	00000.000429258854	
15046987.799872327596	00000.000000000000	00000.120644344715	
140755298.162084013224	00009.083603038234	00003.291466445758	
140755298.162084013224	00000.053452323960	00007.327648462726	
140755298.162084013224	00000.002034938621	00005.450515803380	
140755298.162084013224	00000.000001389999	00001.647775879332	
140755298.162084013224	00000.000000000000	00000.001793068409	
140755298.162084013224	00000.000000000000	00000.004141171508	
140755298.162084013224	00000.000000000157	00000.626474007747	
140755298.162084013224	00000.000000000001	00000.045525189273	
140755298.162084013224	00000.092146895045	00006.538021039485	
140755298.162084013224	00000.007902925641	00002.171389738879	
140755298.162084013224	00000.000000000000	00000.036301834351	
140755298.162084013224	00000.000000000000	00000.002500865443	
140755298.162084013224	00000.000550454254	00000.749852692470	
140755298.162084013224	00000.000000085029	00000.033376031580	
140755298.162084013224	00000.000000000000	00000.027606806369	
140755298.162084013224	00000.015853054016	00001.386432452237	
140755298.162084013224	00000.000000553014	00000.044054285613	
140755298.162084013224	00000.000000000000	00000.005377568904	
140755298.162084013224	00000.000000000000	00000.092325591038	
140755298.162084013224	00000.000000000000	00000.031576889861	
140755298.162084013224	00000.000000000000	00000.010105674871	
140755298.162084013224	00000.000000000000	00000.006141015162	
140755298.162084013224	00000.008759093273	00000.394432144023	
140755298.162084013224	00000.000000022702	00000.079219786252	
140755298.162084013224	00000.000000000000	00000.005593104177	
140755298.162084013224	00000.000000000000	00000.000692802069	
140755298.162084013224	00000.000043045609	00001.087335335695	
140755298.162084013224	00000.406369421373	00000.270111358678	
140755298.162084013224	00000.000000537540	00000.166523986254	
140755298.162084013224	00000.000000010219	00000.080973699237	
140755298.162084013224	00000.000000007446	00000.070063385327	
140755298.162084013224	00000.000000000000	00000.006209822653	
42232295.359138987958	00140.054879217420	00034.811478772227	
42232295.359138987958	00000.000000013170	00000.118246138075	
42232295.359138987958	00000.011475053817	00011.453211394662	
42232295.359138987958	00000.000000000000	00000.000257634199	
42232295.359138987958	00000.000000000000	00000.002900371445	
42232295.359138987958	00000.000000000000	00000.000650160764	
42232295.359138987958	00000.000009132933	00000.081850782055	
42232295.359138987958	00000.000000229036	00000.730290135073	
42232295.359138987958	00000.000000000000	00000.008654573761	
42232295.359138987958	00000.000000000000	00000.009252968239	
42232295.359138987958	00000.000000000073	00000.002155998458	
42232295.359138987958	00000.000000000000	00000.000176373281	
42232295.359138987958	00000.000000000000	00000.000150672851	
42232295.359138987958	00000.000000000000	00000.000204059934	
42232295.359138987958	00000.000000000001	00000.022785993281	
42232295.359138987958	00000.000000000000	00000.000512670526	
42232295.359138987958	00000.000013754160	00001.489399252069	
42232295.359138987958	00000.000000000632	00000.000562164082	
42232295.359138987958	00000.000000000405	00001.565786974636	
42232295.359138987958	00000.000000000000	00000.000056150630	
42232295.359138987958	00000.000000000001	00000.000627046559	
42232295.359138987958	00000.000000000000	00000.000363617782	
38856.639432016418	00000.000000000000	00000.000525402755	
38856.639432016418	00000.000000000000	00000.000182941465	
38856.639432016418	00000.000000000000	00000.000076404465	
38856.639432016418	00000.000000000000	00000.031100253974	
38856.639432016418	00000.000000000000	00000.000064976899	
38856.639432016418	00000.000000000000	00000.000202514324	
38856.639432016418	00000.000000000000	00000.001954204154	
38856.639432016418	00000.000000000000	00000.000001174399	
38856.639432016418	00000.000000000000	00000.000008017775	
38856.639432016418	00000.000000000000	00000.000137380142	
38856.639432016418	00000.000000000000	00000.000050037868	
38856.639432016418	00000.000000000000	00000.000709012846	
38856.639432016418	00000.000000000000	00000.000798065729	
38856.639432016418	00000.000000000000	00000.000015691372	
38856.639432016418	00000.000000000000	00000.000010376249	
38856.639432016418	00000.000000000000	00000.000000491287	
38856.639432016418	00000.000000000000	00000.000151114209	
38856.639432016418	00000.000000000000	00000.002126835140	
38856.639432016418	00000.000000000000	00000.000011777409	
38856.639432016418	00000.000000000000	00000.000032422019	
38856.639432016418	00000.000000000000	00000.000001012107	
38856.639432016418	00000.000000000000	00000.000029085801	
45406121.305691130459	00000.022227288777	00000.359268842420	
45406121.305691130459	00000.000000000000	00000.012117576941	
45406121.305691130459	00000.000000000000	00000.010940023893	
45406121.305691130459	00000.000000000000	00000.004287798055	
45406121.305691130459	00000.001805702333	00000.462900009351	
45406121.305691130459	00000.000005591980	00000.056461731908	
45406121.305691130459	00000.000000000000	00000.016736856519	
45406121.305691130459	00000.000000000000	00000.010979412922	
45406121.305691130459	00000.000000000000	00000.036637138465	
45406121.305691130459	00000.000000000000	00000.025296247070	
45406121.305691130459	00000.000000000000	00000.000273913093	
45406121.305691130459	00000.137755878745	00001.155266436755	
45406121.305691130459	00000.000000000000	00000.000075811656	
45406121.305691130459	00000.000000000001	00000.026101720444	
45406121.305691130459	00000.000000000000	00000.016044498541	
45406121.305691130459	00000.000000000000	00000.000709415423	
45406121.305691130459	00000.000000000000	00000.006389435483	
45406121.305691130459	00000.000000000003	00000.045137763006	
45406121.305691130459	00000.000000000000	00000.007443381989	
45406121.305691130459	00000.000000000000	00000.000546913693	
45406121.305691130459	00000.000000007169	00000.263876339956	
45406121.305691130459	00000.000000000002	00000.003596981939	
45406121.305691130459	00000.000000000000	00000.000014650982	
45406121.305691130459	00000.000000000000	00000.006090514663	
45406121.305691130459	00000.000000000000	00000.019816237234	
158137.653078607371	00000.000000054828	00000.059060886863	
158137.653078607371	00000.000000000000	00000.000147190999	
158137.653078607371	00000.000000000000	00000.000006592157	
158137.653078607371	00000.000000000000	00000.000235178639	
158137.653078607371	00000.000000000000	00000.000191273291	
158137.653078607371	00000.000000000000	00000.000008206407	
158137.653078607371	00000.000000000000	00000.000687676418	
158137.653078607371	00000.000000000000	00000.001647680719	
158137.653078607371	00000.000000000000	00000.000093625970	
158137.653078607371	00000.000000000000	00000.000021165198	
158137.653078607371	00000.000000000000	00000.003486572880	
158137.653078607371	00000.000000000000	00000.000089355065	
158137.653078607371	00000.000000000000	00000.001135675376	
158137.653078607371	00000.000000000000	00000.000259257886	
158137.653078607371	00000.000000000000	00000.010060735424	
158137.653078607371	00000.000000000000	00000.000383117866	
158137.653078607371	00000.000000000000	00000.000004457447	
158137.653078607371	00000.000000000024	00000.263764208822	
158137.653078607371	00000.000000000000	00000.000007429596	
