Ftherm_star	Ftherm_planet	Frefl_planet	
Star.Blackbody	Planet.Thermal	Planet.Reflected	
68593.843354803976	00000.006461850318	00000.000001926783	
68593.843354803976	00000.203131030501	00000.000077353322	
68593.843354803976	00000.034570749724	00000.000032072082	
68593.843354803976	00000.219027735937	00000.000011200687	
68593.843354803976	00001.989097966181	00000.001507488472	
68593.843354803976	00000.057670771304	00000.000002159641	
68593.843354803976	00001.009935038666	00000.004325267206	
68593.843354803976	00000.038781228863	00000.000003837635	
68593.843354803976	00000.002232107666	00000.000002500839	
68593.843354803976	00000.011463277835	00000.000005135502	
68593.843354803976	00006.509817299841	00000.007209537729	
68593.843354803976	00004.381401691345	00000.000072428860	
68593.843354803976	00000.169571950272	00000.000071332389	
68593.843354803976	00000.426233707932	00000.002918004158	
68593.843354803976	00000.006837599192	00000.000010171114	
68593.843354803976	00000.062060101350	00000.000064574644	
68593.843354803976	00000.017474890868	00000.000009156738	
68593.843354803976	00000.009324507553	00000.000000358289	
1059351.511281818384	00266.763644118698	00000.011438746427	
1059351.511281818384	00003.819875344051	00000.000000729600	
1059351.511281818384	00167.911140620742	00000.001081979398	
1059351.511281818384	00000.059860018880	00000.000006441152	
1059351.511281818384	00014.564192418523	00000.002909059946	
1059351.511281818384	00019.386567826410	00000.055543210943	
1059351.511281818384	00035.248840261652	00000.009150029174	
1059351.511281818384	00009.621676050650	00000.000645355997	
1059351.511281818384	00000.035273240114	00000.000000751023	
1059351.511281818384	00031.041895718185	00000.004085690246	
1059351.511281818384	00002.291485105666	00000.001585877351	
1059351.511281818384	00069.615214456922	00000.031493813542	
1059351.511281818384	00003.050126902017	00000.000096612433	
1059351.511281818384	00000.805904568783	00000.000591495878	
1059351.511281818384	00088.398762371407	00000.303516635352	
1059351.511281818384	00000.085110598620	00000.000149904210	
1059351.511281818384	00002.088086843330	00000.000266642123	
1059351.511281818384	00007.043590697287	00000.002039960501	
1059351.511281818384	00002.036185516766	00000.000212554052	
1059351.511281818384	00000.244457022563	00000.000072341076	
1059351.511281818384	00220.899832497197	00000.000333351797	
1059351.511281818384	00007.249754776389	00000.001257790592	
1059351.511281818384	00000.267352192836	00000.000021084673	
1059351.511281818384	00050.760953097077	00000.017557364873	
1059351.511281818384	00000.230956459864	00000.000011827408	
1059351.511281818384	00000.244221268353	00000.000023236808	
937437.595363092958	00009.627737157246	00000.006326684739	
937437.595363092958	00006.113260253252	00000.000308787491	
937437.595363092958	00000.263842891129	00000.000043022054	
937437.595363092958	00000.271685177203	00000.000258011938	
